配置标识,类型,配方,主体,来源,目标,操作名称,协议,参数
过程.安全停热,过程,化学.加热,结束加热,大试管,酒精灯,,,停热连接触发风险=是;风险状态键后缀=.风险.冷凝水倒吸;风险连接实体标识=折角导气管;风险连接端口标识=折角导气管.出口.集气瓶;检测风险实体任意连接=是
过程.划燃火柴,过程,化学.点燃热源,点燃热源,火柴,火柴盒,,,状态键=火柴.已点燃
过程.标记火柴已划燃,附加操作,化学.点燃热源,点燃热源,火柴,火柴盒,标记火柴已划燃,添加教学状态,实体标识=火柴;教学状态=已划燃
过程.点燃酒精灯,过程,化学.点燃热源,点燃热源,酒精灯,火柴,,,状态键=酒精灯.已点燃
过程.熄灭酒精灯,过程,化学.点燃热源,熄灭热源,酒精灯,火柴,,,状态键=酒精灯.已点燃
过程.点燃铁丝底端火柴,过程,化学.点燃热源,点燃热源,组合引燃火柴,火柴,,,状态键=组合引燃火柴.已点燃
过程.点燃木炭,过程,化学.点燃,点燃,木炭,酒精灯,,,反应标识=木炭燃烧;燃料标识=碳;氧化剂标识=氧气;氧化剂来源实体标识=集气瓶一;最低点燃温度摄氏度=600;最大点火距离米=0.2;每秒反应单位=1;点火源无效拒绝原因=点火源无效;点火距离过远拒绝原因=点火距离过远;对象不可燃拒绝原因=对象不可燃;缺少氧化剂拒绝原因=缺少氧气;燃料温度不足拒绝原因=燃料温度不足;热源状态键=酒精灯.已点燃;热源未点燃拒绝原因=酒精灯未点燃
过程.点燃铁丝,过程,化学.点燃,点燃,火柴铁丝组合,组合引燃火柴,,,反应标识=铁丝燃烧;燃料标识=铁;氧化剂标识=氧气;氧化剂来源实体标识=集气瓶二;最低点燃温度摄氏度=600;最大点火距离米=0.2;每秒反应单位=1;点火源无效拒绝原因=点火源无效;点火距离过远拒绝原因=点火距离过远;对象不可燃拒绝原因=对象不可燃;缺少氧化剂拒绝原因=缺少氧气;燃料温度不足拒绝原因=燃料温度不足;热源状态键=组合引燃火柴.已点燃;热源未点燃拒绝原因=铁丝底端火柴未点燃;安全容器实体标识=集气瓶二;最小安全液体体积毫升=1;液体不足拒绝原因=瓶底未留少量水;液体不足风险状态键=集气瓶二.风险.热损伤
过程.振荡石灰水,过程,化学.振荡,振荡,集气瓶一,,,,最小强度=0.1;最大强度=5;最短持续秒数=0.1;最长持续秒数=10;混合状态键后缀=.混合程度;混合增量系数=1;不可振荡拒绝原因=对象不可振荡;未持有拒绝原因=未持有对象;强度越界拒绝原因=振荡强度越界;持续时间越界拒绝原因=振荡时间越界;反应标识=石灰水与二氧化碳反应;最大反应单位=1
过程.收集氧气到集气瓶一,过程,化学.集气,集气,折角导气管,集气瓶一,,,来源实体标识=大试管;目标实体标识=集气瓶一;物质标识=氧气;数量=32;计量单位=克;数量不足拒绝原因=气流尚未稳定;数量不足风险状态键=集气瓶一.风险.氧气不纯
过程.收集氧气到集气瓶二,过程,化学.集气,集气,折角导气管,集气瓶二,,,来源实体标识=大试管;目标实体标识=集气瓶二;物质标识=氧气;数量=32;计量单位=克;数量不足拒绝原因=气流尚未稳定
过程.转移二氧化碳,过程,化学.放入反应产物,转移产物,木炭,集气瓶一,,,来源实体标识=木炭;目标实体标识=集气瓶一;物质标识=二氧化碳;数量=44;计量单位=克
过程.转移四氧化三铁,过程,化学.放入反应产物,转移产物,火柴铁丝组合,集气瓶二,,,来源实体标识=火柴铁丝组合;目标实体标识=集气瓶二;物质标识=四氧化三铁;数量=116;计量单位=克
过程.转移石灰水溶质,附加操作,化学.倾倒,开始倾倒,澄清石灰水窄口瓶,集气瓶一,转移石灰水溶质,转移物质,来源实体标识=澄清石灰水窄口瓶;目标实体标识=集气瓶一;物质标识=氢氧化钙;数量=7.4092;计量单位=克
过程.药匙舀取高锰酸钾,附加操作,通用.放置,通用拿出,药匙,高锰酸钾广口瓶,药匙舀取高锰酸钾,转移物质,来源实体标识=高锰酸钾广口瓶;目标实体标识=药匙;物质标识=高锰酸钾;数量=632;计量单位=克
过程.标记药匙已舀取药品,附加操作,通用.放置,通用拿出,药匙,高锰酸钾广口瓶,标记药匙已舀取,添加教学状态,实体标识=药匙;教学状态=已舀取高锰酸钾
过程.标记高锰酸钾瓶已打开,附加操作,通用.抓取,通用抓取,高锰酸钾瓶盖,,标记高锰酸钾瓶已打开,添加教学状态,实体标识=高锰酸钾广口瓶;教学状态=瓶盖已打开
过程.标记再次打开高锰酸钾瓶,附加操作,通用.覆盖,通用揭开,高锰酸钾瓶盖,高锰酸钾广口瓶,标记高锰酸钾瓶已打开,添加教学状态,实体标识=高锰酸钾广口瓶;教学状态=瓶盖已打开
过程.标记高锰酸钾瓶已盖好,附加操作,通用.覆盖,通用覆盖,高锰酸钾瓶盖,高锰酸钾广口瓶,标记高锰酸钾瓶已盖好,移除教学状态,实体标识=高锰酸钾广口瓶;教学状态=瓶盖已打开
过程.标记木炭瓶已打开,附加操作,通用.抓取,通用抓取,木炭瓶盖,,标记木炭瓶已打开,添加教学状态,实体标识=木炭;教学状态=所在试剂瓶已打开
过程.标记再次打开木炭瓶,附加操作,通用.覆盖,通用揭开,木炭瓶盖,木炭广口瓶,标记木炭瓶已打开,添加教学状态,实体标识=木炭;教学状态=所在试剂瓶已打开
过程.标记木炭瓶已盖好,附加操作,通用.覆盖,通用覆盖,木炭瓶盖,木炭广口瓶,标记木炭瓶已盖好,移除教学状态,实体标识=木炭;教学状态=所在试剂瓶已打开
过程.标记首次取下酒精灯帽,附加操作,通用.抓取,通用抓取,酒精灯帽,,标记酒精灯帽已取下,添加教学状态,实体标识=酒精灯;教学状态=灯帽已取下
过程.标记再次取下酒精灯帽,附加操作,通用.覆盖,通用揭开,酒精灯帽,酒精灯,标记酒精灯帽已取下,添加教学状态,实体标识=酒精灯;教学状态=灯帽已取下
过程.标记盖上酒精灯帽,附加操作,通用.覆盖,通用覆盖,酒精灯帽,酒精灯,标记酒精灯帽已盖上,移除教学状态,实体标识=酒精灯;教学状态=灯帽已取下
过程.标记安全停热,附加操作,化学.加热,结束加热,大试管,酒精灯,标记安全停热,添加教学状态,实体标识=大试管;教学状态=已安全停止加热
过程.标记两段连接件已连接,附加操作,通用.连接,通用连接,折角导气管,橡胶塞玻璃导管,标记两段连接件已连接,添加教学状态,实体标识=大试管;教学状态=气路已连通
过程.标记两段连接件已断开,附加操作,通用.连接,通用断开,折角导气管,橡胶塞玻璃导管,标记两段连接件已断开,移除教学状态,实体标识=大试管;教学状态=气路已连通
过程.标记气密性检查,附加操作,通用.连接,通用连接,橡胶塞玻璃导管,大试管,标记气密性检查,添加教学状态,实体标识=橡胶塞玻璃导管;教学状态=已完成气密性检查
过程.排出集气瓶一中的水,附加操作,化学.集气,集气,折角导气管,集气瓶一,排出集气瓶一中的水,转移物质,来源实体标识=集气瓶一;目标实体标识=水槽;物质标识=水;数量=90;计量单位=毫升
过程.排出集气瓶二中的水,附加操作,化学.集气,集气,折角导气管,集气瓶二,排出集气瓶二中的水,转移物质,来源实体标识=集气瓶二;目标实体标识=水槽;物质标识=水;数量=90;计量单位=毫升
过程.标记收集两瓶氧气,附加操作,化学.集气,集气,折角导气管,集气瓶二,标记收集两瓶氧气,添加教学状态,实体标识=集气瓶二;教学状态=第二瓶氧气已收集
风险.记录粉末污染,附加操作,化学.加热,开始加热,大试管,酒精灯,发布粉末污染风险,条件发布事件,状态键=大试管.风险.粉末污染;期望值=1;事件类型=实验风险.粉末污染
风险.记录装置漏气,附加操作,化学.加热,开始加热,大试管,酒精灯,发布装置漏气风险,条件发布事件,状态键=大试管.风险.装置漏气;期望值=1;事件类型=实验风险.装置漏气
风险.记录氧气不纯,附加操作,化学.集气,集气,折角导气管,集气瓶一,发布氧气不纯风险,条件发布事件,状态键=集气瓶一.风险.氧气不纯;期望值=1;事件类型=实验风险.氧气不纯
风险.记录冷凝水倒吸,附加操作,化学.加热,结束加热,大试管,酒精灯,发布冷凝水倒吸风险,条件发布事件,状态键=大试管.风险.冷凝水倒吸;期望值=1;事件类型=实验风险.冷凝水倒吸
风险.记录集气瓶热损伤,附加操作,化学.点燃,点燃,火柴铁丝组合,组合引燃火柴,发布集气瓶热损伤风险,条件发布事件,状态键=集气瓶二.风险.热损伤;期望值=1;事件类型=实验风险.集气瓶热损伤
